OSEBuildingID,DataYear,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,TotalGHGEmissions,GHGEmissionsIntensity,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude
187.0,2015.0,1971.0,1.0,6.0,250981.0,0.0,64.4,13901935.0,3994742.0,458359.0,1.43,398.56,1.43,NonResidential,Other,3,CENTRAL,47.60411727,-122.3153334
189.0,2015.0,2002.0,1.0,3.0,62526.0,0.0,29.5,1841968.0,0.0,785500.0,0.71,49.08,0.71,SPS-District K-12,K-12 School,6,NORTHWEST,47.68734351,-122.3598407
190.0,2015.0,2007.0,1.0,3.0,64015.0,0.0,62.0,3349666.0,0.0,648399.0,0.65,53.27,0.65,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.5353246,-122.3186034
194.0,2015.0,1951.0,1.0,1.0,530039.0,0.0,54.8,29067292.0,0.0,12200681.0,1.31,765.56,1.31,NonResidential,Retail Store,5,NORTH,47.70752593,-122.3267018
195.0,2015.0,1964.0,1.0,3.0,54224.0,0.0,161.9,7613116.0,0.0,4246577.0,4.33,249.01,4.33,NonResidential,Other,5,NORTH,47.70624752,-122.3217548
197.0,2015.0,1965.0,1.0,4.0,124342.0,0.0,72.4,8835104.0,0.0,76850.0,0.22,65.14,0.22,NonResidential,Retail Store,5,NORTH,47.70798492,-122.32534027
198.0,2015.0,1953.0,1.0,10.0,879000.0,0.0,285.8,251191824.0,0.0,136448438.0,8.59,8046.7,8.59,NonResidential,Hospital,4,NORTHEAST,47.66356652,-122.2813832
200.0,2015.0,1996.0,1.0,3.0,55442.0,0.0,82.9,3091559.0,0.0,1277457.0,1.31,80.49,1.31,NonResidential,Other,5,NORTHWEST,47.70952866,-122.3346575
205.0,2015.0,1999.0,1.0,2.0,242795.0,0.0,36.0,8728584.0,0.0,1262200.0,0.36,119.09,0.36,SPS-District K-12,K-12 School,6,BALLARD,47.67678666,-122.3739682
209.0,2015.0,1910.0,1.0,5.0,84870.0,0.0,13.3,1136698.0,0.0,702841.0,0.45,40.35,0.45,NonResidential,"Self-Storage Facility
",3,EAST,47.61229181,-122.3170942
211.0,2015.0,1970.0,11.0,2.0,694072.0,111625.0,55.6,37117212.0,0.0,3934997.0,0.43,440.31,0.43,Campus,College/University,5,NORTHWEST,47.69879162,-122.3338342
212.0,2015.0,1952.0,1.0,2.0,173185.0,0.0,39.6,6863464.0,0.0,5082400.0,1.59,282.34,1.59,SPS-District K-12,K-12 School,2,SOUTHEAST,47.54657866,-122.2820193
214.0,2015.0,1963.0,1.0,1.0,145341.0,0.0,35.9,4998015.0,0.0,3083154.0,1.16,177.1,1.16,SPS-District K-12,K-12 School,1,DELRIDGE,47.54806021,-122.3620019
